country,ntest,Rt,severe_n_averted_p
brazil,100,0.9,2.300722292808891
brazil,100,1.2,2.1293167370351322
brazil,100,1.5,3.0033921946224584
brazil,100,2.0,
brazil,500,0.9,1.165562027869831
brazil,500,1.2,1.2849599000335745
brazil,500,1.5,3.3283758160674104
brazil,500,2.0,1.5263708716187268
georgia,100,0.9,1.3101860334592135
georgia,100,1.2,2.2100398226633464
georgia,100,1.5,3.3954824107666406
georgia,100,2.0,
georgia,500,0.9,1.001373285546902
georgia,500,1.2,1.0235882997682377
georgia,500,1.5,2.724944517746235
georgia,500,2.0,1.6266531111676248
zambia,100,0.9,1.1945413102973494
zambia,100,1.2,1.3579583880733461
zambia,100,1.5,1.9593781406255846
zambia,100,2.0,
zambia,500,0.9,1.3028814870829886
zambia,500,1.2,1.4307486513963998
zambia,500,1.5,1.8096791808873727
zambia,500,2.0,1.2273512983249966
