country,ntest,Rt,severe_n_averted_p
brazil,100,0.9,6.546349466776039
brazil,100,1.2,1.129498222370135
brazil,100,1.5,-1.3711386453568
brazil,100,2.0,-0.02512575977195179
brazil,500,0.9,1.0908875585512485
brazil,500,1.2,2.5218103680348296
brazil,500,1.5,3.2554881846159573
brazil,500,2.0,1.2411359687672097
georgia,100,0.9,3.5573328297114974
georgia,100,1.2,-1633.2988748256723
georgia,100,1.5,43.56453127147104
georgia,100,2.0,1.8955821286881163
georgia,500,0.9,1.0298808605606078
georgia,500,1.2,1.17176700827387
georgia,500,1.5,4.282629548538063
georgia,500,2.0,1.1379845419443144
zambia,100,0.9,2.3975416991216982
zambia,100,1.2,1.4315300546448102
zambia,100,1.5,2.808801613044616
zambia,100,2.0,-8.706427580907283
zambia,500,0.9,1.306489997161678
zambia,500,1.2,2.2750258173494
zambia,500,1.5,2.2036495522221506
zambia,500,2.0,1.2494894296817758
