ISO3Code,Country,catype,mae,vacc_prop,date
AFG,Afghanistan,ZMB,0.002990786893134401,0.2563255337440687,2022-10-04
DZA,Algeria,BRA,0.010279136801590611,0.14670629154545334,2022-09-04
AGO,Angola,ZMB,0.004098762553415681,0.22647148685822022,2022-10-02
ARM,Armenia,GEO,0.00507106894476056,0.3532125344055516,2022-05-22
BGD,Bangladesh,BRA,0.010924605010650136,0.7297569842875182,2022-10-05
BLZ,Belize,BRA,0.013542639034949793,0.5516222492756812,2022-10-07
BEN,Benin,ZMB,0.003647249498174924,0.2070122902431696,2022-10-02
BTN,Bhutan,BRA,0.010531241442227819,0.8710767782313765,2022-10-02
BOL,Bolivia,ZMB,0.013565797296083251,0.5100044935738913,2022-10-07
BWA,Botswana,ZMB,0.012808359946846754,0.5324593391420182,2022-10-02
BFA,Burkina Faso,ZMB,0.0023543571224552942,0.12028949512555788,2022-10-02
BDI,Burundi,ZMB,0.004163437010516171,0.00164717147258994,2022-10-02
CPV,Cabo Verde,BRA,0.012512744879236839,0.5251009907726326,2022-09-25
KHM,Cambodia,BRA,0.011037198735057522,0.8767037697156729,2022-09-23
CMR,Cameroon,ZMB,0.002114822043115541,0.04638586916957723,2022-10-02
CAF,Central African Republic,ZMB,0.007881851831963734,0.2891190169821119,2022-09-25
TCD,Chad,ZMB,0.0049394020250475654,0.2184019082943048,2022-10-02
COM,Comoros,ZMB,0.006668060167550886,0.4832855824913038,2022-10-02
COD,"Congo, Dem. Rep.",ZMB,0.0057415269738386775,0.03695887791574453,2022-10-02
COG,"Congo, Rep.",ZMB,0.004901242690192878,0.11208717356265784,2022-07-31
CIV,Côte d'Ivoire,ZMB,0.0024781148754425804,0.32089945032523726,2022-09-18
DJI,Djibouti,ZMB,0.013232331554815836,0.20183853026121673,2022-10-02
EGY,"Egypt, Arab Rep.",ZMB,0.013681124739156305,0.3622972992539102,2022-09-29
SLV,El Salvador,BRA,0.011321180710990404,0.6880220304594414,2022-10-02
GNQ,Equatorial Guinea,ZMB,0.008855067052502295,0.13094919074486713,2022-07-24
ERI,Eritrea,ZMB,0.006328544819323237,,
SWZ,Eswatini,ZMB,0.009248235450360081,0.4115448585095167,2022-09-25
ETH,Ethiopia,ZMB,0.0040209696708483275,0.3051748714735527,2022-07-31
GAB,Gabon,ZMB,0.009787279520022552,0.10988352449769967,2022-09-18
GMB,"Gambia, The",ZMB,0.002393962848460895,0.1353793075234212,2022-08-07
GEO,Georgia,GEO,0.0,0.3395901521562116,2022-08-23
GHA,Ghana,ZMB,0.0076906327235564485,0.2586921079567707,2022-10-02
GTM,Guatemala,ZMB,0.010697107749653052,0.39309115952805246,2022-10-07
GIN,Guinea,ZMB,0.0037205524774984165,0.21927605763740896,2022-10-02
GNB,Guinea-Bissau,ZMB,0.002978054290368207,0.1961585289808761,2022-09-18
HTI,Haiti,ZMB,0.01199579478407701,0.01941923215313225,2022-09-16
HND,Honduras,ZMB,0.013337550167754893,0.5517018983404528,2022-09-30
IND,India,BRA,0.00852932515250546,0.6741618303093637,2022-10-09
IDN,Indonesia,BRA,0.005703461242334201,0.6238270771426369,2022-10-02
IRN,Iran,BRA,0.007430657463142945,0.6646987119429096,2022-09-29
